,AHU_g,AHU_tin,AHU_tout,CP1_g_sv,CP1_g,CP1_inv,CP1_pw,RR1_g,RR1_tin_ch,RR1_tout_ch,RR1_COP,RR1_pw,RR1_lf,t_da
2019-07-09 08:00:00,0.1025390625,7.0,14.814581412000361,0.11619055572666666,0.12262902378773967,0.40900935233239116,0.8408304140561367,0.12262902378773967,13.624067095622523,7.0,4.627031903716015,12.247994988760285,0.7556297575565255,17.662000000000003
2019-07-09 08:15:00,0.1064453125,7.0,14.614094629913447,0.11720500036666669,0.1179805865186038,0.4087849927759919,0.8124672400360657,0.1179805865186038,13.46751535121493,7.0,4.701367581737963,11.325011460918898,0.7097627016875877,17.738
2019-07-09 08:30:00,0.107421875,7.0,14.644427999768237,0.11925833369999995,0.1170237212582222,0.4088548522806288,0.8066251461420383,0.1170237212582222,13.486333455692408,7.0,4.706219355823628,11.252494511235978,0.7060972467271128,17.751333333333335
2019-07-09 08:45:00,0.107421875,7.0,14.516574830059678,0.11793222224666669,0.11716786767953918,0.4089325471604609,0.8075751913123792,0.11716786767953918,13.391500156287892,7.0,4.719950505751426,11.069594859997629,0.6966327342538243,17.781333333333336
2019-07-09 09:00:00,0.1064453125,7.0,14.457017236224576,0.11611722202666666,0.11808214268326504,0.4089094453660594,0.8132578749219854,0.11808214268326504,13.325739468784267,7.0,4.715084864912879,11.053454380335946,0.6947671793469851,17.844666666666672
2019-07-09 09:15:00,0.10514322916666667,7.0,14.564676618828916,0.11577499999999998,0.11969691476719199,0.4087564932338425,0.8228562483690948,0.11969691476719199,13.415343630444578,7.0,4.667764987935096,11.471844074323462,0.7139305420480582,17.929333333333332
2019-07-09 09:30:00,0.1064453125,7.0,14.637158360433983,0.11710111145333334,0.11798512687124503,0.40862073060331283,0.8122113049076957,0.11798512687124503,13.46102821405242,7.0,4.653541315722676,11.427836656034499,0.7089727852786158,18.103999999999992
2019-07-09 09:45:00,0.107421875,7.0,14.781804758097225,0.12024222261333332,0.11696564052182169,0.4086874049176152,0.8060036230579084,0.11696564052182169,13.597337257416212,7.0,4.617921909495556,11.658308438978688,0.7178271985680024,18.246666666666666
2019-07-09 10:00:00,0.107421875,7.0,14.75778205272611,0.12081666666666666,0.11715408368426364,0.40886993779039676,0.8073874928781734,0.11715408368426364,13.59042545158165,7.0,4.598753027326614,11.713265636767225,0.7182271566850825,18.384000000000004
2019-07-09 10:15:00,0.107421875,7.0,14.524984954400603,0.11772444427333334,0.11715554534772873,0.4089656439298055,0.8075637275561818,0.11715554534772873,13.403180361448701,7.0,4.622822469299872,11.322143150821521,0.6978358285367766,18.484666666666666
2019-07-09 10:30:00,0.10546875,7.0,14.487049608678976,0.11556722202666667,0.11930545506213643,0.40889969387642844,0.8207042419876031,0.11930545506213643,13.35156429824621,7.0,4.609528196157575,11.469291951638272,0.7047342195849016,18.490000000000002
2019-07-09 10:45:00,0.1044921875,7.0,14.682748045011346,0.11543888906,0.12053798229278835,0.4086762994732249,0.8278354090713458,0.12053798229278835,13.482334137868593,7.0,4.55146536412935,11.972735524517104,0.7264925571543732,18.625333333333334
2019-07-09 11:00:00,0.10611979166666667,7.0,14.768682456993865,0.11696666703333333,0.11841017659351721,0.408506692811668,0.8146037399342528,0.11841017659351721,13.603219070058582,7.0,4.5063689644888845,12.106741797988594,0.7272652448791344,18.95266666666667
2019-07-09 11:15:00,0.107421875,7.0,14.823928928443133,0.11911777797333335,0.11687619948114994,0.40853801294413844,0.8052373312046843,0.11687619948114994,13.628910556362571,7.0,4.505272299883033,11.997691440806761,0.7207118599512536,19.04733333333333
2019-07-09 11:30:00,0.107421875,7.0,14.831076548119825,0.11900166666666667,0.11700637715064564,0.408643654829867,0.8061562434113764,0.11700637715064564,13.654435377628475,7.0,4.519563231998726,12.019371420513549,0.7242889956120488,18.892666666666667
2019-07-09 11:45:00,0.107421875,7.0,14.771212722869226,0.11780388905999999,0.11698068487991585,0.4086998819697561,0.8061096985618257,0.11698068487991585,13.590201756310092,7.0,4.545713791587338,11.831999745112276,0.7171401560382973,18.794
2019-07-09 12:00:00,0.107421875,7.0,14.820919604612088,0.11816444464000002,0.11689347546591901,0.4087446961686024,0.8056966175922678,0.11689347546591901,13.634621148044108,7.0,4.555885443857903,11.876320062334948,0.7214362364958907,18.66
2019-07-09 12:15:00,0.107421875,7.0,14.850416132568514,0.12072500000000003,0.11711830223074222,0.4088511672053078,0.8071523484572964,0.11711830223074222,13.658639961911735,7.0,4.554965584318676,11.94471569464961,0.7254413411925966,18.612666666666662
2019-07-09 12:30:00,0.107421875,7.0,14.868491135755256,0.12224055572666667,0.11728861668371993,0.40907632294506097,0.8085112263558719,0.11728861668371993,13.677938057833414,7.0,4.538627829857807,12.039865117697396,0.728600838903027,18.692000000000004
2019-07-09 12:45:00,0.107421875,7.0,14.871144953473552,0.12145833369999998,0.11742114379721919,0.40927975761529556,0.8096200176548272,0.11742114379721919,13.677682006119367,7.0,4.542005801513568,12.044044384183017,0.7293965720520846,18.656000000000002
2019-07-09 13:00:00,0.107421875,7.0,14.860604581030184,0.12111611130666665,0.11754139389283653,0.4094644619666911,0.8106277489559062,0.11754139389283653,13.673221496650177,7.0,4.549386833827605,12.028767456526245,0.7296551770317503,18.59733333333333
